POS_tagged_sentence,Logical_expression,Natural_sentence,Manchester_syntax
"a/DT non-terminally/RB differentiated/VBN odontoblast/NN is/VBZ an/DT odontoblast/NN that/WDT is/VBZ located/VBN in/IN the/DT odontogenic/JJ papilla/NN and/CC dentine/NN tissue/NN ,/, and/CC transform/VB from/IN a/DT odontoblast/NN cell/NN ./. <EOS>/<EOS>",non-terminally differentiated odontoblast := odontoblast ^ E located in . ( odontogenic papilla U dentine tissue ) ^ E transform from . ( odontoblast cell ) <EOS>,"a non-terminally differentiated odontoblast is an odontoblast that is located in the odontogenic papilla and dentine tissue , and transform from a odontoblast cell.",nonterminally differentiated odontoblast EquivalentTo odontoblast and some located in odontogenic papilla or dentine tissue and some transform from odontoblast cell
the/DT hypertrophic/JJ chondrocyte/NN is/VBZ a/DT chondrocyte/NN that/WDT is/VBZ terminally/RB differentiated/VBN ./. <EOS>/<EOS>,hypertrophic chondrocyte := chondrocyte ^ E terminally differentiated . ( T ) <EOS>,the hypertrophic chondrocyte is a chondrocyte that is terminally differentiated.,hypertrophic chondrocyte EquivalentTo chondrocyte and some terminally differentiated
the/DT hypertrophic/JJ chondrocyte/NN is/VBZ a/DT chondrocyte/NN that/WDT produce/VB type/JJ X/NN collagen/NN ./. <EOS>/<EOS>,hypertrophic chondrocyte := chondrocyte ^ E produce . ( type X collagen ) <EOS>,the hypertrophic chondrocyte is a chondrocyte that produce type X collagen.,hypertrophic chondrocyte EquivalentTo chondrocyte and some produce type X collagen
the/DT periarticular/JJ chondrocyte/NN is/VBZ a/DT chondrocyte/NN that/WDT is/VBZ located/VBN on/IN a/DT joint/JJ surface/NN and/CC that/DT is/VBZ part/NN of/IN articular/JJ cartilage/NN ./. <EOS>/<EOS>,periarticular chondrocyte := chondrocyte ^ E located on . ( joint surface ) ^ E part of . ( articular cartilage ) <EOS>,the periarticular chondrocyte is a chondrocyte that is located on a joint surface and that is part of articular cartilage.,periarticular chondrocyte EquivalentTo chondrocyte and some located on joint surface and some part of articular cartilage
vasodentine/NN is/VBZ the/DT dentine/NN tissue/NN that/WDT lack/VB dentine/NN tubule/NN and/CC that/DT is/VBZ penetrated/VBN by/IN blood/NN capillary/NN ./. <EOS>/<EOS>,vasodentine := dentine tissue ^ E lack . ( dentine tubule ) ^ E penetrated by . ( blood capillary ) <EOS>,vasodentine is the dentine tissue that lack dentine tubule and that is penetrated by blood capillary.,vasodentine EquivalentTo dentine tissue and some lack dentine tubule and some penetrated by blood capillary
the/DT columnar/NN chondrocyte/NN is/VBZ a/DT chondrocyte/NN that/WDT is/VBZ linearly/RB arranged/VBN with/IN other/JJ columnar/NN chondrocytes/NN ./. <EOS>/<EOS>,columnar chondrocyte := chondrocyte ^ E linearly arranged with . ( columnar chondrocytes ) <EOS>,the columnar chondrocyte is a chondrocyte that is linearly arranged with other columnar chondrocytes.,columnar chondrocyte EquivalentTo chondrocyte and some linearly arranged with columnar chondrocytes
a/DT mineralized/JJ bone/NN tissue/NN is/VBZ a/DT bone/NN tissue/NN that/WDT is/VBZ mineralized/VBN with/IN hydroxyapatite/NN ./. <EOS>/<EOS>,mineralized bone tissue := bone tissue ^ E mineralized with . ( hydroxyapatite ) <EOS>,a mineralized bone tissue is a bone tissue that is mineralized with hydroxyapatite.,mineralized bone tissue EquivalentTo bone tissue and some mineralized with hydroxyapatite
a/DT cellular/JJ bone/NN tissue/NN is/VBZ a/DT mineralized/JJ bone/NN tissue/NN that/WDT always/RB include/VB non-terminally/RB differentiated/JJ osteoblast/NN and/CC osteocyte/NN ./. <EOS>/<EOS>,cellular bone tissue := mineralized bone tissue ^ E include . ( non-terminally differentiated osteoblast U osteocyte ) <EOS>,a cellular bone tissue is a mineralized bone tissue that always include non-terminally differentiated osteoblast and osteocyte.,cellular bone tissue EquivalentTo mineralized bone tissue and some include nonterminally differentiated osteoblast or osteocyte
the/DT acellular/JJ bone/NN tissue/NN is/VBZ a/DT mineralized/JJ bone/NN tissue/NN that/WDT have/VB terminally/RB differentiated/VBN osteoblast/NN but/CC lack/VB osteocyte/NN ./. <EOS>/<EOS>,acellular bone tissue := mineralized bone tissue ^ E have terminally differentiated osteoblast . ( T ) ^ E lack . ( osteocyte ) <EOS>,the acellular bone tissue is a mineralized bone tissue that have terminally differentiated osteoblast but lack osteocyte.,acellular bone tissue EquivalentTo mineralized bone tissue and some have terminally differentiated osteoblast and some lack osteocyte
the/DT pectoral/JJ appendage/NN is/VBZ the/DT anterior/JJ paired/JJ appendage/NN ./. <EOS>/<EOS>,pectoral appendage := anterior paired appendage <EOS>,the pectoral appendage is the anterior paired appendage.,pectoral appendage EquivalentTo anterior paired appendage
the/DT pelvic/JJ appendage/NN is/VBZ a/DT posterior/JJ paired/JJ appendage/NN ./. <EOS>/<EOS>,pelvic appendage := posterior paired appendage <EOS>,the pelvic appendage is a posterior paired appendage.,pelvic appendage EquivalentTo posterior paired appendage
a/DT ossified/JJ tendon/NN is/VBZ a/DT sesamoid/NN that/WDT develop/VB within/IN a/DT tendon/NN and/CC is/VBZ distal/JJ to/TO an/DT articulation/NN or/CC joint/NN ./. <EOS>/<EOS>,ossified tendon := sesamoid ^ E develop within . ( tendon ) ^ E distal to . ( articulation U joint ) <EOS>,a ossified tendon is a sesamoid that develop within a tendon and is distal to an articulation or joint.,ossified tendon EquivalentTo sesamoid and some develop within tendon and some distal to articulation or joint
a/DT ossified/JJ tendon/NN is/VBZ a/DT sesamoid/NN that/WDT develop/VB within/IN a/DT tendon/NN ./. <EOS>/<EOS>,ossified tendon := sesamoid ^ E develop within . ( tendon ) <EOS>,a ossified tendon is a sesamoid that develop within a tendon.,ossified tendon EquivalentTo sesamoid and some develop within tendon
a/DT replacement/NN element/NN is/VBZ a/DT skeletal/JJ element/NN that/WDT form/VB as/IN a/DT replacement/NN or/CC substitution/NN of/IN another/DT element/NN or/CC tissue/NN ./. <EOS>/<EOS>,replacement element := skeletal replacement element ^ E form as . ( replacement of element U substitution of element U replacement of tissue U substitution of tissue ) <EOS>,a replacement element is a skeletal element that form as a replacement or substitution of another element or tissue.,replacement element EquivalentTo skeletal replacement element and some form as replacement of element or substitution of element or replacement of tissue or substitution of tissue
a/DT ligamentous/JJ replacement/NN element/NN is/VBZ a/DT replacement/NN element/NN that/WDT form/VB as/IN a/DT replacement/NN of/IN a/DT ligament/NN ./. <EOS>/<EOS>,ligamentous replacement element := replacement element ^ E form as . ( replacement of ligament ) <EOS>,a ligamentous replacement element is a replacement element that form as a replacement of a ligament.,ligamentous replacement element EquivalentTo replacement element and some form as replacement of ligament
the/DT pectoral/JJ fin/NN skeleton/NN is/VBZ a/DT paired/JJ fin/NN skeleton/NN that/IN consists/VB of/IN the/DT supporting/VBG endochondral/JJ proximal/NN and/CC distal/JJ radial/NN and/CC the/DT dermal/JJ fin/NN ray/NN or/CC lepidotrichia/NN ./. <EOS>/<EOS>,pectoral fin skeleton := paired fin skeleton ^ E consists of . ( supporting endochondral proximal U distal radial U dermal fin ray U dermal fin lepidotrichia ) <EOS>,the pectoral fin skeleton is a paired fin skeleton that consists of the supporting endochondral proximal and distal radial and the dermal fin ray or lepidotrichia.,pectoral fin skeleton EquivalentTo paired fin skeleton and some consists of supporting endochondral proximal or distal radial or dermal fin ray or dermal fin lepidotrichia
the/DT pectoral/JJ fin/NN skeleton/NN is/VBZ a/DT paired/JJ fin/NN skeleton/NN that/WDT is/VBZ located/VBN in/IN the/DT thoracic/JJ region/NN of/IN the/DT body/NN and/CC articulate/VB with/IN the/DT scapula/NN and/CC the/DT coracoid/NN ./. <EOS>/<EOS>,pectoral fin skeleton := paired fin skeleton ^ E located in . ( thoracic region of body ) ^ E articulate with . ( scapula ) ^ E articulate with . ( coracoid ) <EOS>,the pectoral fin skeleton is a paired fin skeleton that is located in the thoracic region of the body and articulate with the scapula and the coracoid.,pectoral fin skeleton EquivalentTo paired fin skeleton and some located in thoracic region of body and some articulate with scapula and some articulate with coracoid
"ossified/VBN ligament/NN are/VBP sesamoid/NN that/IN develop/VB within/IN a/DT ligament/NN ,/, distal/NN to/TO an/DT articulation/NN or/CC joint/NN ./. <EOS>/<EOS>",ossified ligament := sesamoid ^ E develop within . ( ligament ) ^ E distal to . ( articulation U joint ) <EOS>,"ossified ligament are sesamoid that develop within a ligament , distal to an articulation or joint.",ossified ligament EquivalentTo sesamoid and some develop within ligament and some distal to articulation or joint
a/DT paired/JJ fin/NN skeleton/NN is/VBZ a/DT skeletal/JJ system/NN that/WDT consists/VB of/IN the/DT paired/JJ fin/NN (/( pectoral/JJ or/CC pelvic/JJ fin/NN )/) ./. <EOS>/<EOS>,paired fin skeleton := skeletal system ^ E consists of . ( paired fin ) <EOS>,a paired fin skeleton is a skeletal system that consists of the paired fin ( pectoral or pelvic fin ).,paired fin skeleton EquivalentTo skeletal system and some consists of paired fin
a/DT pectoral/JJ fin/NN skeleton/NN is/VBZ a/DT paired/JJ fin/NN skeleton/NN that/IN consists/VB of/IN the/DT supporting/VBG endochondral/JJ proximal/NN and/CC distal/JJ radial/NN and/CC the/DT dermal/JJ fin/NN ray/NN or/CC lepidotrichia/NN ./. <EOS>/<EOS>,pectoral fin skeleton := paired fin skeleton ^ E consists of . ( supporting endochondral radial ^ distal radial ^ ( dermal fin ray U dermal fin lepidotrichia ) ) <EOS>,a pectoral fin skeleton is a paired fin skeleton that consists of the supporting endochondral proximal and distal radial and the dermal fin ray or lepidotrichia.,pectoral fin skeleton EquivalentTo paired fin skeleton and some consists of supporting endochondral radial and distal radial and dermal fin ray or dermal fin lepidotrichia
the/DT pectoral/JJ fin/NN skeleton/NN is/VBZ located/VBN in/IN the/DT thoracic/JJ region/NN of/IN the/DT body/NN and/CC articulates/VB with/IN the/DT scapula/NN and/CC coracoid/NN ./. <EOS>/<EOS>,pectoral fin skeleton := E located in . ( thoracic region of body ) ^ E articulates with . ( scapula ^ coracoid ) <EOS>,the pectoral fin skeleton is located in the thoracic region of the body and articulates with the scapula and coracoid.,pectoral fin skeleton EquivalentTo some located in thoracic region of body and some articulates with scapula and coracoid
the/DT pelvic/JJ fin/NN skeleton/NN is/VBZ a/DT paired/JJ fin/NN skeleton/NN located/VBN in/IN the/DT abdominal/JJ position/NN that/IN consists/VB of/IN supporting/VBG endochondral/JJ radial/NN and/CC dermal/JJ fin/NN ray/NN or/CC lepidotrichia/NN ./. <EOS>/<EOS>,pelvic fin skeleton := paired fin skeleton ^ E located in . ( abdominal position ) ^ E consists of . ( supporting endochondral radial ^ ( dermal fin ray U dermal fin lepidotrichia ) ) <EOS>,the pelvic fin skeleton is a paired fin skeleton located in the abdominal position that consists of supporting endochondral radial and dermal fin ray or lepidotrichia.,pelvic fin skeleton EquivalentTo paired fin skeleton and some located in abdominal position and some consists of supporting endochondral radial and dermal fin ray or dermal fin lepidotrichia
"a/DT ossified/JJ ligament/NN is/VBZ a/DT sesamoid/NN that/WDT develop/VB within/IN a/DT ligament/NN ,/, distal/NN to/TO an/DT articulation/NN or/CC joint/NN ./. <EOS>/<EOS>",ossified ligament := sesamoid ^ E develop within . ( ligament ) ^ E distal to . ( articulation U joint ) <EOS>,"a ossified ligament is a sesamoid that develop within a ligament , distal to an articulation or joint.",ossified ligament EquivalentTo sesamoid and some develop within ligament and some distal to articulation or joint
an/DT interclavicle/NN is/VBZ a/DT dermal/JJ bone/NN of/IN pectoral/JJ girdle/NN that/WDT is/VBZ median/JJ and/CC ventral/JJ in/IN position/NN ./. <EOS>/<EOS>,interclavicle := dermal bone of pectoral girdle ^ E median in . ( position ) ^ E ventral in . ( position ) <EOS>,an interclavicle is a dermal bone of pectoral girdle that is median and ventral in position.,interclavicle EquivalentTo dermal bone of pectoral girdle and some median in position and some ventral in position
a/DT paired/JJ fin/NN skeleton/NN is/VBZ a/DT skeletal/JJ system/NN that/WDT consists/VB of/IN the/DT paired/JJ fin/NN (/( pectoral/JJ or/CC pelvic/JJ fin/NN )/) ./. <EOS>/<EOS>,paired fin skeleton := skeletal system ^ E consists of . ( paired fin ) <EOS>,a paired fin skeleton is a skeletal system that consists of the paired fin ( pectoral or pelvic fin ).,paired fin skeleton EquivalentTo skeletal system and some consists of paired fin
a/DT median/JJ fin/NN skeleton/NN is/VBZ a/DT postcranial/JJ axial/JJ skeleton/NN that/WDT is/VBZ unpaired/JJ and/CC located/VBN on/IN the/DT sagittal/JJ plane/NN of/IN the/DT organism/NN ./. <EOS>/<EOS>,median fin skeleton := postcranial axial skeleton ^ E unpaired . ( T ) ^ E located on . ( sagittal plane of the organism ) <EOS>,a median fin skeleton is a postcranial axial skeleton that is unpaired and located on the sagittal plane of the organism.,median fin skeleton EquivalentTo postcranial axial skeleton and some unpaired and some located on sagittal plane of the organism
"the/DT scapular/NN complex/NN is/VBZ a/DT skeletal/JJ subdivision/NN of/IN dermal/JJ bone/NN that/WDT may/MD include/VB the/DT anterolateral/JJ plate/NN ,/, the/DT spinal/JJ process/NN ,/, and/CC anteroventral/JJ plate/NN (/( av/NN )/) and/CC other/JJ dermal/JJ bone/NN that/WDT are/VBP part/NN of/IN the/DT pectoral/JJ girdle/NN ./. <EOS>/<EOS>",scapular complex := skeletal subdivision of dermal bone ^ E include . ( anterolateral plate U the spinal process U anteroventral plate U ( dermal bone ^ E part of . ( pectoral girdle ) ) <EOS>,"the scapular complex is a skeletal subdivision of dermal bone that may include the anterolateral plate , the spinal process , and anteroventral plate ( av ) and other dermal bone that are part of the pectoral girdle.",scapular complex EquivalentTo skeletal subdivision of dermal bone and some include anterolateral plate or the spinal process or anteroventral plate or dermal bone and some part of pectoral girdle
the/DT vertebral/JJ column/NN is/VBZ the/DT anatomical/JJ cluster/NN that/WDT consists/VB of/IN vertebra/NN of/IN the/DT body/NN ./. <EOS>/<EOS>,vertebral column := anatomical cluster ^ E consists of . ( vertebra of body ) <EOS>,the vertebral column is the anatomical cluster that consists of vertebra of the body.,vertebral column EquivalentTo anatomical cluster and some consists of vertebra of body
the/DT fin/NN skeleton/NN is/VBZ the/DT skeletal/JJ subdivision/NN that/WDT is/VBZ part/NN of/IN the/DT paired/JJ fin/NN ./. <EOS>/<EOS>,fin skeleton := skeletal subdivision ^ E part of . ( paired fin ) <EOS>,the fin skeleton is the skeletal subdivision that is part of the paired fin.,fin skeleton EquivalentTo skeletal subdivision and some part of paired fin
the/DT limb/NN skeleton/NN is/VBZ the/DT skeletal/JJ subdivision/NN that/WDT is/VBZ part/NN of/IN the/DT paired/JJ limb/NN ./. <EOS>/<EOS>,limb skeleton := skeletal subdivision ^ E part of . ( paired limb ) <EOS>,the limb skeleton is the skeletal subdivision that is part of the paired limb.,limb skeleton EquivalentTo skeletal subdivision and some part of paired limb
the/DT girdle/NN skeleton/NN is/VBZ a/DT skeletal/JJ subdivision/NN that/WDT is/VBZ part/NN of/IN the/DT appendage/NN girdle/NN region/NN ./. <EOS>/<EOS>,girdle skeleton := skeletal subdivision ^ E part of . ( appendage girdle region ) <EOS>,the girdle skeleton is a skeletal subdivision that is part of the appendage girdle region.,girdle skeleton EquivalentTo skeletal subdivision and some part of appendage girdle region
the/DT perichordal/NN bone/NN is/VBZ the/DT bone/NN element/NN that/WDT is/VBZ adjacent/JJ to/TO the/DT notochord/NN ./. <EOS>/<EOS>,perichordal bone := bone element ^ E adjacent to . ( notochord ) <EOS>,the perichordal bone is the bone element that is adjacent to the notochord.,perichordal bone EquivalentTo bone element and some adjacent to notochord
the/DT perichondral/JJ bone/NN is/VBZ the/DT bone/NN element/NN that/WDT is/VBZ located/VBN on/IN the/DT surface/NN of/IN a/DT cartilage/NN element/NN ./. <EOS>/<EOS>,perichondral bone := bone element ^ E located on . ( surface of cartilage element ) <EOS>,the perichondral bone is the bone element that is located on the surface of a cartilage element.,perichondral bone EquivalentTo bone element and some located on surface of cartilage element
"the/DT acropodial/JJ skeleton/NN is/VBZ a/DT endochondral/JJ terminal/JJ bone/NN that/WDT is/VBZ located/VBN at/IN the/DT distalmost/JJ end/NN of/IN the/DT autopodium/NN ,/, consisting/VBG of/IN the/DT phalanx/NN ./. <EOS>/<EOS>",acropodial skeleton := endochondral terminal bone ^ E located at . ( distalmost end of autopodium ) ^ E consisting of . ( phalanx ) <EOS>,"the acropodial skeleton is a endochondral terminal bone that is located at the distalmost end of the autopodium , consisting of the phalanx.",acropodial skeleton EquivalentTo endochondral terminal bone and some located at distalmost end of autopodium and some consisting of phalanx
an/DT integumentary/JJ papilla/NN is/VBZ an/DT odontogenic/JJ papilla/NN that/WDT is/VBZ located/VBN in/IN the/DT integument/NN ./. <EOS>/<EOS>,integumentary papilla := odontogenic papilla ^ E located in . ( integument ) <EOS>,an integumentary papilla is an odontogenic papilla that is located in the integument.,integumentary papilla EquivalentTo odontogenic papilla and some located in integument
the/DT oropharyngeal/JJ papilla/NN is/VBZ an/DT odontogenic/JJ papilla/NN located/VBN along/IN the/DT jaw/NN or/CC pharyngeal/JJ skeleton/NN ./. <EOS>/<EOS>,oropharyngeal papilla := odontogenic papilla ^ E located along . ( jaw U pharyngeal skeleton ) <EOS>,the oropharyngeal papilla is an odontogenic papilla located along the jaw or pharyngeal skeleton.,oropharyngeal papilla EquivalentTo odontogenic papilla and some located along jaw or pharyngeal skeleton
the/DT bone/NN element/NN is/VBZ a/DT skeletal/JJ element/NN that/WDT is/VBZ composed/VBN of/IN bone/NN tissue/NN ./. <EOS>/<EOS>,bone element := skeletal element ^ E composed of . ( bone tissue ) <EOS>,the bone element is a skeletal element that is composed of bone tissue.,bone element EquivalentTo skeletal element and some composed of bone tissue
"an/DT osteoblast/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT secretes/VB osteoid/JJ ,/, is/VBZ capable/JJ of/IN producing/VBG mineralized/VBN matrix/NN ,/, is/VBZ located/VBN adjacent/JJ to/TO or/CC within/IN osteoid/JJ tissue/NN ,/, and/CC arises/NN from/IN the/DT transformation/NN of/IN a/DT preosteoblast/NN cell/NN ./. <EOS>/<EOS>",osteoblast := skeletogenic cell ^ E secretes . ( osteoid ) ^ E producing . ( mineralized matrix ) ^ E ( located adjacent to ^ located within ) . ( osteoid tissue ) ^ E arises from . ( transformation of preosteoblast cell ) <EOS>,"an osteoblast is a skeletogenic cell that secretes osteoid , is capable of producing mineralized matrix , is located adjacent to or within osteoid tissue , and arises from the transformation of a preosteoblast cell.",osteoblast EquivalentTo skeletogenic cell and some secretes osteoid and some producing mineralized matrix and some located adjacent to and located within osteoid tissue and some arises from transformation of preosteoblast cell
an/DT osteoblast/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT secretes/VB osteoid/PRP ./. <EOS>/<EOS>,osteoblast := skeletogenic cell ^ E secretes . ( osteoid ) <EOS>,an osteoblast is a skeletogenic cell that secretes osteoid.,osteoblast EquivalentTo skeletogenic cell and some secretes osteoid
an/DT osteoblast/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT is/VBZ located/VBN adjacent/JJ to/TO or/CC within/IN osteoid/JJ tissue/NN ./. <EOS>/<EOS>,osteoblast := skeletogenic cell ^ E ( located adjacent to ^ located within ) . ( osteoid tissue ) <EOS>,an osteoblast is a skeletogenic cell that is located adjacent to or within osteoid tissue.,osteoblast EquivalentTo skeletogenic cell and some located adjacent to and located within osteoid tissue
"a/DT cementoblast/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT produce/VB cementum/NN ,/, is/VBZ part/NN of/IN the/DT odontogenic/JJ papilla/NN ,/, and/CC develop/VB from/IN a/DT precementoblast/NN cell/NN ./. <EOS>/<EOS>",cementoblast := skeletogenic cell ^ E produce . ( cementum ) ^ E part of . ( odontogenic papilla ) ^ E develop from . ( precementoblast cell ) <EOS>,"a cementoblast is a skeletogenic cell that produce cementum , is part of the odontogenic papilla , and develop from a precementoblast cell.",cementoblast EquivalentTo skeletogenic cell and some produce cementum and some part of odontogenic papilla and some develop from precementoblast cell
the/DT caudal/NN fin/NN skeleton/NN is/VBZ a/DT median/JJ fin/NN skeleton/NN supporting/VBG the/DT caudal/NN fin/NN ./. <EOS>/<EOS>,caudal fin skeleton := median fin skeleton ^ E supporting . ( caudal fin ) <EOS>,the caudal fin skeleton is a median fin skeleton supporting the caudal fin.,caudal fin skeleton EquivalentTo median fin skeleton and some supporting caudal fin
the/DT pelvic/JJ fin/NN lepidotrichium/NN is/VBZ a/DT lepidotrichium/NN that/WDT is/VBZ part/NN of/IN the/DT pelvic/JJ fin/NN skeleton/NN ./. <EOS>/<EOS>,pelvic fin lepidotrichium := lepidotrichium ^ E part of . ( pelvic fin skeleton ) <EOS>,the pelvic fin lepidotrichium is a lepidotrichium that is part of the pelvic fin skeleton.,pelvic fin lepidotrichium EquivalentTo lepidotrichium and some part of pelvic fin skeleton
the/DT caudal/NN fin/NN lepidotrichium/NN is/VBZ a/DT lepidotrichium/NN that/WDT is/VBZ part/NN of/IN the/DT caudal/NN fin/NN skeleton/NN ./. <EOS>/<EOS>,caudal fin lepidotrichium := lepidotrichium ^ E part of . ( caudal fin skeleton ) <EOS>,the caudal fin lepidotrichium is a lepidotrichium that is part of the caudal fin skeleton.,caudal fin lepidotrichium EquivalentTo lepidotrichium and some part of caudal fin skeleton
the/DT pectoral/JJ fin/NN lepidotrichium/NN is/VBZ a/DT lepidotrichium/NN that/WDT is/VBZ part/NN of/IN the/DT pectoral/JJ fin/NN skeleton/NN ./. <EOS>/<EOS>,pectoral fin lepidotrichium := lepidotrichium ^ E part of . ( pectoral fin skeleton ) <EOS>,the pectoral fin lepidotrichium is a lepidotrichium that is part of the pectoral fin skeleton.,pectoral fin lepidotrichium EquivalentTo lepidotrichium and some part of pectoral fin skeleton
the/DT anal/JJ fin/NN lepidotrichium/NN is/VBZ a/DT lepidotrichium/NN that/WDT is/VBZ part/NN of/IN the/DT anal/JJ fin/NN skeleton/NN ./. <EOS>/<EOS>,anal fin lepidotrichium := lepidotrichium ^ E part of . ( anal fin skeleton ) <EOS>,the anal fin lepidotrichium is a lepidotrichium that is part of the anal fin skeleton.,anal fin lepidotrichium EquivalentTo lepidotrichium and some part of anal fin skeleton
the/DT dorsal/NN fin/NN lepidotrichium/NN is/VBZ a/DT lepidotrichium/NN that/WDT is/VBZ part/NN of/IN the/DT dorsal/NN fin/NN skeleton/NN ./. <EOS>/<EOS>,dorsal fin lepidotrichium := lepidotrichium ^ E part of . ( dorsal fin skeleton ) <EOS>,the dorsal fin lepidotrichium is a lepidotrichium that is part of the dorsal fin skeleton.,dorsal fin lepidotrichium EquivalentTo lepidotrichium and some part of dorsal fin skeleton
the/DT embryonic/JJ cell/NN is/VBZ a/DT cell/NN of/IN the/DT embryo/NN ./. <EOS>/<EOS>,embryonic cell := cell of the embryo <EOS>,the embryonic cell is a cell of the embryo.,embryonic cell EquivalentTo cell of the embryo
the/DT fin/NN is/VBZ a/DT surface/NN structure/NN involved/VBN in/IN locomotion/NN ./. <EOS>/<EOS>,fin := surface structure ^ E involved in . ( locomotion ) <EOS>,the fin is a surface structure involved in locomotion.,fin EquivalentTo surface structure and some involved in locomotion
the/DT median/JJ fin/NN is/VBZ an/DT unpaired/JJ fin/NN that/WDT is/VBZ located/VBN in/IN the/DT sagittal/JJ plane/NN of/IN the/DT organism/NN ./. <EOS>/<EOS>,median fin := unpaired fin ^ E located in . ( sagittal plane of organism ) <EOS>,the median fin is an unpaired fin that is located in the sagittal plane of the organism.,median fin EquivalentTo unpaired fin and some located in sagittal plane of organism
the/DT anal/JJ fin/NN is/VBZ a/DT median/JJ fin/NN that/WDT is/VBZ located/VBN posterior/RB to/TO the/DT anus/NN ./. <EOS>/<EOS>,anal fin := median fin ^ E located posterior to . ( anus ) <EOS>,the anal fin is a median fin that is located posterior to the anus.,anal fin EquivalentTo median fin and some located posterior to anus
the/DT dorsal/NN fin/NN is/VBZ a/DT median/JJ fin/NN located/VBN on/IN the/DT dorsal/JJ surface/NN of/IN the/DT organism/NN ./. <EOS>/<EOS>,dorsal fin := median fin ^ E located on . ( dorsal surface of organism ) <EOS>,the dorsal fin is a median fin located on the dorsal surface of the organism.,dorsal fin EquivalentTo median fin and some located on dorsal surface of organism
the/DT caudal/NN fin/NN is/VBZ the/DT most/RBS posterior/JJ median/JJ fin/NN ./. <EOS>/<EOS>,caudal fin := most posterior median fin <EOS>,the caudal fin is the most posterior median fin.,caudal fin EquivalentTo most posterior median fin
the/DT articular/JJ system/NN is/VBZ an/DT anatomical/JJ system/NN that/WDT consists/VB of/IN all/PDT the/DT joint/NN of/IN the/DT body/NN ./. <EOS>/<EOS>,articular system := anatomical system ^ E consists of . ( joint of body ) <EOS>,the articular system is an anatomical system that consists of all the joint of the body.,articular system EquivalentTo anatomical system and some consists of joint of body
the/DT vertebral/JJ centrum/NN is/VBZ a/DT skeletal/JJ element/NN that/WDT surround/VB the/DT notochord/NN ./. <EOS>/<EOS>,vertebral centrum := skeletal element ^ E surround . ( notochord ) <EOS>,the vertebral centrum is a skeletal element that surround the notochord.,vertebral centrum EquivalentTo skeletal element and some surround notochord
a/DT two-dimensional/JJ region/NN is/VBZ a/DT spatial/JJ region/NN that/WDT have/VB NUM/CD dimension/NN ./. <EOS>/<EOS>,two-dimensional region := spatial region = NUM have dimension . ( T ) <EOS>,a two-dimensional region is a spatial region that have NUM dimension.,twodimensional region EquivalentTo spatial region NUM have dimension
a/DT three-dimensional/JJ region/NN is/VBZ a/DT spatial/JJ region/NN that/WDT have/VB NUM/CD dimension/NN ./. <EOS>/<EOS>,three-dimensional region := spatial region = NUM have dimension . ( T ) <EOS>,a three-dimensional region is a spatial region that have NUM dimension.,threedimensional region EquivalentTo spatial region NUM have dimension
an/DT authority/NN operation/NN is/VBZ an/DT operation/NN or/CC activity/NN initiated/VBN by/IN the/DT authority/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,authority operation := ( operation U activity ) ^ E initiated by . ( authority ) ^ E disrupt . ( traffic ) <EOS>,an authority operation is an operation or activity initiated by the authority that can disrupt traffic.,authority operation EquivalentTo operation or activity and some initiated by authority and some disrupt traffic
a/DT crowd/NN is/VBZ a/DT major/JJ gathering/NN of/IN people/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,crowd := major gathering of people ^ >= 0 disrupt . ( traffic ) <EOS>,a crowd is a major gathering of people that can disrupt traffic.,crowd EquivalentTo major gathering of people and 0 disrupt traffic
a/DT public/JJ event/NN is/VBZ an/DT organized/JJ event/NN which/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,public event := organized event ^ >= 0 disrupt . ( traffic ) <EOS>,a public event is an organized event which can disrupt traffic.,public event EquivalentTo organized event and 0 disrupt traffic
an/DT agricultural/JJ show/NN or/CC event/NN is/VBZ something/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,agricultural show U agricultural event := >= 0 disrupt . ( traffic ) <EOS>,an agricultural show or event is something that can disrupt traffic.,agricultural show or agricultural event EquivalentTo 0 disrupt traffic
an/DT air/NN show/NN or/CC other/JJ areonautical/JJ event/NN is/VBZ something/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,air show U areonautical event := >= 0 disrupt . ( traffic ) <EOS>,an air show or other areonautical event is something that can disrupt traffic.,air show or areonautical event EquivalentTo 0 disrupt traffic
an/DT athletics/NN meeting/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,athletics meeting := event ^ >= 0 disrupt . ( traffic ) <EOS>,an athletics meeting is an event that can disrupt traffic.,athletics meeting EquivalentTo event and 0 disrupt traffic
